pid,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,PULocationID,DOLocationID,payment_type,fare_amount,tip_amount,total_amount
286147,1610123892,1610124490,1,3.01,Clinton West,Manhattan Valley,Cash,11.0,0.0,15.3
351023,1610285163,1610285521,1,1.5,Midtown East,Garment District,Credit Card,6.5,1.0,10.8
1169158,1611918511,1611920352,1,8.25,East Village,Central Harlem,Credit Card,28.0,3.13,34.43
747104,1611089800,1611090413,1,1.7,Gramercy,East Chelsea,Cash,9.0,0.0,12.8
295143,1610133683,1610133750,3,0.26,East Harlem North,East Harlem North,Cash,3.0,0.0,4.8
1037508,1611674796,1611675360,4,1.12,Midtown Center,UN/Turtle Bay South,Cash,7.0,0.0,10.3
1244094,1612078636,1612079829,1,10.79,Kips Bay,Parkchester,Credit Card,31.0,0.0,34.3
72250,1609695666,1609697691,1,20.99,JFK Airport,Financial District South,Credit Card,52.0,11.06,66.36
1205933,1611969187,1611969437,1,0.71,Midtown East,Clinton East,Cash,5.0,0.0,8.8
1249224,1612093669,1612094372,1,3.5,Yorkville East,Murray Hill,Credit Card,12.5,2.0,17.8
845820,1611270207,1611272028,0,15.7,JFK Airport,Sunnyside,Credit Card,45.5,4.68,51.48
143503,1609857400,1609858363,2,2.27,Times Sq/Theatre District,Lenox Hill East,Credit Card,12.0,3.06,18.36
1047996,1611688098,1611688512,1,0.9,Midtown North,Sutton Place/Turtle Bay North,Credit Card,6.0,2.05,12.35
1083793,1611765712,1611766151,1,1.0,Bloomingdale,Upper West Side North,Credit Card,6.5,0.0,8.3
1042670,1611682802,1611683616,1,2.84,Midtown Center,Greenwich Village North,Credit Card,12.0,3.26,19.56
763258,1611141983,1611142323,1,1.2,Upper West Side North,East Harlem South,Credit Card,6.5,1.45,8.75
935985,1611443467,1611443918,1,1.34,East Village,Midtown South,Credit Card,7.5,1.0,12.3
238485,1610036475,1610036666,1,0.0,Long Island City/Hunters Point,Long Island City/Hunters Point,Cash,4.0,0.0,5.8
1118115,1611834184,1611834609,1,1.14,Gramercy,Greenwich Village South,Credit Card,6.5,1.96,11.76
832703,1611251462,1611251768,1,0.68,Upper West Side South,Lincoln Square West,Credit Card,5.5,1.47,11.27
231015,1610024998,1610025336,1,1.0,Midtown Center,Sutton Place/Turtle Bay North,Credit Card,6.0,1.86,11.16
643270,1610879563,1610879737,1,0.6,Manhattan Valley,Upper West Side North,Credit Card,4.0,1.46,8.76
954978,1611506699,1611506900,1,0.8,Lenox Hill West,Upper East Side North,Credit Card,4.5,1.0,9.8
1142741,1611859218,1611860584,1,6.43,Upper West Side North,TriBeCa/Civic Center,Credit Card,22.0,6.58,32.88
273618,1610111869,1610112057,2,0.58,Times Sq/Theatre District,Midtown Center,Cash,4.5,0.0,7.8
512172,1610617786,1610618083,1,0.86,UN/Turtle Bay South,Murray Hill,Credit Card,5.5,1.76,10.56
296715,1610133665,1610134584,1,2.86,Midtown South,Lenox Hill West,Credit Card,12.5,3.36,20.16
380100,1610364275,1610365031,0,1.6,Upper East Side South,Kips Bay,Credit Card,9.5,2.55,15.35
549445,1610653108,1610653972,1,4.59,East Harlem North,Washington Heights South,Credit Card,16.0,5.19,22.49
998415,1611596082,1611596390,1,1.3,TriBeCa/Civic Center,Meatpacking/West Village West,Credit Card,6.5,2.15,12.95
1151361,1611861818,1611863095,1,11.15,Financial District North,Central Harlem North,Credit Card,31.5,4.7,40.0
216618,1610010426,1610011465,1,2.68,Upper West Side North,Lenox Hill East,Credit Card,13.0,3.26,19.56
60300,1609671505,1609672030,1,2.16,Little Italy/NoLiTa,Kips Bay,Credit Card,9.0,2.46,14.76
69233,1609687827,1609688925,1,0.0,Central Harlem North,University Heights/Morris Heights,Credit Card,19.2,0.0,20.0
818986,1611235082,1611235519,1,0.87,Upper East Side North,Upper East Side South,Credit Card,6.5,1.96,11.76
696801,1610995195,1610995379,1,0.6,Upper West Side South,Upper West Side North,Credit Card,4.5,1.56,9.36
354024,1610292853,1610293407,1,1.89,Upper East Side North,UN/Turtle Bay South,Cash,9.0,0.0,12.3
679103,1610972253,1610973103,1,2.91,Lincoln Square West,Yorkville East,Credit Card,12.5,3.16,18.96
1267281,1612119500,1612120039,1,1.64,Yorkville West,Upper West Side North,Credit Card,8.5,3.54,15.34
324316,1610210748,1610211351,1,1.55,Upper West Side South,Upper East Side North,Credit Card,9.0,2.46,14.76
312093,1610196558,1610197188,1,3.0,Midtown East,East Harlem South,Credit Card,11.0,4.25,18.55
258022,1610090667,1610091043,1,1.99,Upper West Side North,Midtown North,Credit Card,8.0,3.39,14.69
1020164,1611655674,1611656423,1,1.6,Lenox Hill East,Midtown East,Credit Card,9.5,3.8,16.6
672224,1610963171,1610963648,1,2.1,Upper East Side North,Midtown East,Cash,8.5,0.0,11.8
