tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,PULocationID,DOLocationID,payment_type,fare_amount,tip_amount,total_amount
1609631770,1609632233,1,2.6,LaGuardia Airport,Astoria,Credit Card,10.0,2.8,14.1
1612107969,1612109054,1,6.8,Upper East Side South,Washington Heights South,Credit Card,21.5,1.5,26.3
1611337790,1611338479,1,1.96,Upper East Side South,Midtown South,Credit Card,9.5,0.0,13.8
1611325018,1611325813,1,2.4,Midtown North,Yorkville East,Credit Card,11.0,2.85,17.15
1611230983,1611232339,1,4.54,Lenox Hill West,East Williamsburg,Cash,18.5,0.0,21.8
1609459381,1609459605,1,0.74,Upper East Side North,Lenox Hill West,Credit Card,5.0,0.0,8.8
1611567421,1611568049,1,1.98,Union Sq,Midtown Center,Credit Card,9.5,0.01,12.81
1609857461,1609857723,2,0.7,Upper East Side North,Yorkville West,Credit Card,5.0,1.65,9.95
1611835303,1611836380,2,2.72,Murray Hill,Yorkville West,Credit Card,13.5,4.0,20.8
1611175210,1611175475,1,1.46,Clinton East,Lincoln Square West,Cash,6.0,0.0,9.8
1611290710,1611291459,1,3.05,Lincoln Square East,Central Harlem,Credit Card,12.5,3.26,19.56
1611239967,1611240853,1,2.43,Upper West Side South,Yorkville West,Credit Card,12.0,3.06,18.36
1612095771,1612096250,1,1.74,Upper East Side North,Upper East Side South,Credit Card,8.0,1.05,12.35
1610700318,1610701295,1,3.5,Lincoln Square East,West Village,Cash,13.5,0.0,16.8
1610472555,1610473672,1,8.5,JFK Airport,Hillcrest/Pomonok,Cash,24.5,0.0,26.3
1610041467,1610042090,1,1.19,Penn Station/Madison Sq West,Kips Bay,Credit Card,8.0,2.46,14.76
1611405625,1611405947,1,1.17,Central Park,Upper East Side North,Credit Card,6.5,1.96,11.76
1610021984,1610022203,2,0.5,Garment District,Penn Station/Madison Sq West,Cash,4.5,0.0,7.8
1611224392,1611224924,1,1.39,Gramercy,Midtown Center,Credit Card,8.0,2.26,13.56
1609592047,1609592868,1,8.59,Yorkville West,World Trade Center,Credit Card,24.5,5.56,33.36
1610630408,1610630822,1,1.9,Kips Bay,Lenox Hill East,Cash,7.5,0.0,10.8
1610464562,1610465140,1,1.73,Upper West Side South,Central Park,Credit Card,8.5,2.0,13.8
1610450328,1610450999,2,1.4,Gramercy,Midtown Center,Credit Card,9.0,3.0,15.3
1611858630,1611861895,1,14.82,Times Sq/Theatre District,Woodlawn/Wakefield,Credit Card,47.5,10.36,62.16
1610627042,1610627670,2,2.41,Central Park,Union Sq,Credit Card,10.0,2.66,15.96
